employee_id,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,department,salary,satisfaction_level,last_evaluation
1003,2,157,3,0,1,0,sales,low,0.38,0.53
1005,5,262,6,0,1,0,sales,medium,0.8,0.86
1486,7,272,4,0,1,0,sales,medium,0.11,0.88
1038,5,223,5,0,1,0,sales,low,0.72,0.87
1057,2,159,3,0,1,0,sales,low,0.37,0.52
1060,2,153,3,0,1,0,sales,low,0.41,0.5
1061,6,247,4,0,1,0,sales,low,0.1,0.77
1576,5,259,5,0,1,0,sales,low,0.92,0.85
1752,5,224,5,0,1,0,sales,low,0.89,1.0
1988,2,142,3,0,1,0,sales,low,0.42,0.53
1071,2,135,3,0,1,0,sales,low,0.45,0.54
1088,6,305,4,0,1,0,sales,low,0.11,0.81
2040,4,234,5,0,1,0,sales,low,0.84,0.92
1097,2,148,3,0,1,0,sales,low,0.41,0.55
1100,2,137,3,0,1,0,sales,low,0.36,0.56
1113,2,143,3,0,1,0,sales,low,0.38,0.54
58014,2,160,3,0,1,0,sales,low,0.45,0.47
3322,4,255,6,0,1,0,sales,low,0.78,0.99
3794,2,160,3,1,1,1,sales,low,,
1140,5,262,5,0,1,0,sales,low,,0.89
1148,6,282,4,0,1,0,sales,low,0.11,0.83
1149,2,147,3,0,1,0,sales,low,0.38,0.55
1158,6,304,4,0,1,0,sales,low,0.09,0.95
1166,2,139,3,0,1,0,sales,low,0.46,0.57
1175,2,158,3,0,1,0,sales,low,0.4,0.53
1184,5,242,5,0,1,0,sales,low,0.89,0.92
1186,4,239,5,0,1,0,sales,low,0.82,0.87
1201,2,135,3,0,1,0,sales,low,0.4,0.49
1203,2,128,3,0,1,0,accounting,low,0.41,0.46
1204,2,132,3,0,1,0,accounting,low,0.38,0.5
1214,6,294,4,0,1,0,accounting,low,0.09,0.62
1223,2,134,3,0,1,0,hr,low,0.45,0.57
1228,2,145,3,0,1,0,hr,low,0.4,0.51
1230,2,140,3,0,1,0,hr,low,,
1236,4,246,6,0,1,0,hr,low,0.84,0.87
4266,6,255,4,0,1,0,technical,low,0.1,0.94
1240,2,137,3,0,1,0,technical,low,0.38,0.46
1248,2,126,3,0,1,0,technical,low,0.45,0.5
1256,6,306,4,0,1,0,technical,low,0.11,0.89
4414,2,152,3,0,1,0,technical,low,0.41,0.54
1284,5,269,5,0,1,0,technical,low,0.87,0.88
5983,2,158,3,0,1,0,technical,low,0.45,0.48
1293,2,127,3,0,1,0,technical,low,0.4,0.46
7010,7,281,4,0,1,0,technical,low,0.1,0.8
52647,6,276,4,0,1,0,technical,low,0.09,0.89
10497,3,182,4,0,1,0,technical,low,0.84,0.74
1310,2,147,3,0,1,0,support,low,0.4,0.55
1311,3,273,6,0,1,0,support,low,0.57,0.7
1316,2,148,3,0,1,0,support,low,0.4,0.54
1319,2,147,3,0,1,0,support,low,0.43,0.47
10865,6,152,2,0,1,0,support,low,0.13,0.78
1332,2,135,3,0,1,0,support,low,0.44,0.55
1334,2,134,3,0,1,0,support,low,0.38,0.55
1340,2,132,3,0,1,0,support,low,,
1341,7,307,4,0,1,0,support,low,0.1,0.92
1347,2,140,3,0,1,0,support,low,0.37,0.46
14030,7,255,4,0,1,0,support,low,0.11,0.94
1361,6,309,4,0,1,0,technical,low,0.1,0.81
1371,2,128,3,0,1,0,technical,low,0.38,0.54
1374,4,225,5,0,1,0,technical,low,0.85,1.0
1393,5,226,5,0,1,0,management,medium,0.85,0.91
1399,7,308,4,0,1,0,IT,medium,0.11,0.93
1404,6,244,5,0,1,0,IT,medium,0.1,0.95
1413,2,132,3,0,1,0,IT,medium,0.36,0.56
42423,6,286,4,0,1,0,IT,medium,0.11,0.94
1424,6,161,4,0,1,0,IT,medium,0.81,0.7
